ImageName,FileDir,CollectDate,Instrument
“Cosmic Cliffs” in the Carina Nebula,https://stsci-opo.org/STScI-01GA6KNV1S3TP2JBPCDT8G826T.png,6/3/22,NIRCam
“Cosmic Cliffs” in the Carina Nebula2,https://stsci-opo.org/STScI-01G8GYE2PQWY96TDX66CHQRMPQ.png,6/11/22,"NIRCam, MIRI"
Stephan's Quintet,https://stsci-opo.org/STScI-01G8H4DRM2C010PX6T3DPEEDAW.png,7/1/22,"NIRCam, MIRI"
Stephan's Quintet,https://stsci-opo.org/STScI-01G8H5CE7DEAX7EPB9WAYZWXWG.png,7/1/22,MIRI
Southern Ring Nebula,https://stsci-opo.org/STScI-01G8GZR18A6CBS9TGJS8JE9CM4.png,6/3/22,NIRCam
Southern Ring Nebula2,https://stsci-opo.org/STScI-01G8H005ETS4YHYA6XGG1XE7G2.png,6/12/22,MIRI
Webb's First Deep Field,https://stsci-opo.org/STScI-01G8H1NK4W8CJYHF2DDFD1W0DQ.png,6/7/22,NIRCam
Hubble Views of Dimorphos Ejecta,https://stsci-opo.org/STScI-01GE2ZRKCXR9BPP6FWX0Z9S84C.png,9/26/22,"WFC3, UVIS"
Webb View of Dimorphos Ejecta,https://stsci-opo.org/STScI-01GE4RVJX5RGVY4155Y26GWZBH.png,9/27/22,NIRCam
Neptune,https://stsci-opo.org/STScI-01GCCVKJAMF8RJ79STAVK4CXQA.png,7/12/22,NIRCam
Neptune Close Up,https://stsci-opo.org/STScI-01GCVNDSA55PFHD0JP3JSEKAZ1.png,7/12/22,NIRCam
Neptune Wide Field,https://stsci-opo.org/STScI-01GCVNZ68YTC7FPTBSNA3QDGYW.png,7/12/22,NIRCam
Neptune Wide Field Compass,https://stsci-opo.org/STScI-01GCVP1PQNWZWPCYXJ9G50PC4J.png,7/13/22,NIRCam
Tarantula Nebula,https://stsci-opo.org/STScI-01GA76RM0C11W977JRHGJ5J26X.png,6/2/22,NIRCam
Tarantula Nebula2,https://stsci-opo.org/STScI-01GA77CSHSPPS2P0C6QR3M6X6F.png,10-Jun,MIRI
Image of Exoplanet HIP 65426 b in Near and Mid Infrared,https://stsci-opo.org/STScI-01GBV0VYQ606YGRTZSFG6K38EA.png,7/30/22,NIRCam
Exoplanet WASP-39 b and Its Star,https://stsci-opo.org/STScI-01GB2S5HKVNRJ4CRBR9RKM9CEB.png,8/25/22,NIRCam
Cartwheel Galaxy,https://stsci-opo.org/STScI-01G9G4JP4VZ0R9CZHWQ3AMAR0G.png,6/11/22,NIRCam
Cartwheel Galaxy2,https://stsci-opo.org/STScI-01G9DMR450Y79RG6T036FKDK9B.png,6/10/22,MIRI
Hubble Ultra Deep Field ,https://stsci-opo.org/STScI-01FY71KMVHPC3QP3GG48880DK7.png,9/24/03,
Illustration of Exoplanet 55 Cancri e and Its Star,https://stsci-opo.org/STScI-01G3HA2Q1G8EMCPFWE31BEBZ9C.png,5/26/22,
Illustration of Exoplanet LHS 3844 b and Its Star,https://stsci-opo.org/STScI-01G3H9TPC85CA92S2FJV1MD09M.png,5/26/22,
1I/'Oumuamua,https://stsci-opo.org/STScI-01FW4FV4E1AW2BHC7J53R98SZM.png,2/16/22,
Interstellar Comet 2I/Borisov,https://stsci-opo.org/STScI-01FVMGZQQGYTK9ES8EMQ7GTGMH.png,10/12/19,
Multiwavelength View of NGC 3351,https://stsci-opo.org/STScI-01FRNS1JECNN3G6Y9E25BRQB83.png,3/1/14,"Hubble, VLT, ALMA"
Multiwavelength View of NGC 1300,https://stsci-opo.org/STScI-01FRNQQP6GWW2AWZXD6K5XP4M9.png,9/15/04,"ALMA, VLT"
Ariane 5 Rocket Launch of the JWST Mission,https://stsci-opo.org/STScI-01FQRWQ4CDDCFP9HKKNW3C0KYR.jpg,12/25/21,
JWST Launch: Last View of the Telescope,https://stsci-opo.org/STScI-01FQRWJ223B76AHDHBV8YPER4Y.png,12/25/21,
JWST with Solar Panel Deployed,https://stsci-opo.org/STScI-01FVACX745W7RS2MM6D78TD7XF.png,,
Quasar in the Early Universe,https://stsci-opo.org/STScI-01FMN264HYQDPA4QV6T8T17G98.jpg,12/8/21,Illustration
Exoplanet TOI-421 b and Its Star,https://stsci-opo.org/STScI-01FMMJ177DH30H6WFJE18EYP1Z.png,11/17/21,Illustration
Exoplanet GJ 1214 b and Its Star,https://stsci-opo.org/STScI-01FMMJ2ZH5DT5YBV7483RYPGQD.png,11/18/21,Illustration
Diagram of an Exoplanet Phase Curve,https://stsci-opo.org/STScI-01FMMJ7VB3ANWJVWE84W8CXAMJ.png,11/17/21,
Galactic Center,https://stsci-opo.org/STScI-01FJHR65YKDTY77QX4CG7HENNP.png,10/27/21,"Chandra, Hubble, Spitzer"
Galactic Center in Near-infrared ,https://stsci-opo.org/STScI-01FJHRVKZ331SKDS2SVPDE89XJ.png,10/28/21,Hubble
ALMA's Survey of Protoplanetary Disks,https://stsci-opo.org/STScI-01FFFXSSE0A0D6WPRDMY81VY2P.png,9/22/21,
The COSMOS Hubble ACS Field,https://stsci-opo.org/STScI-01FD7JE1EZ42HQDWAPM5G9ETBR.png,8/18/21,
Debris Disk Around Star Beta Pictoris,https://stsci-opo.org/STScI-01F9YF0394FHA4SM4T1CBXSQE0.png,3/6/12,Hubble
Quasar Outflow,https://stsci-opo.org/STScI-01F8QSEQKMZ73YH71949HAN80X.png,6/23/21,Illustration
Light Path of Webb,https://stsci-opo.org/STScI-01FFMWVXQ49DG3VRX0DKQ9EKXF.png,5/27/21,
Orion Bar,https://stsci-opo.org/STScI-01F67S70YTN0V5PQBNN8PQCDX1.png,5/19/21,Hubble
HR 8799 Exoplanet System: Positional Schematic,https://stsci-opo.org/STScI-01F3NVVWJA435QM3VAWFGCFNFS.png,4/21/21,
Exoplanet 51 Eridani b,https://stsci-opo.org/STScI-01F3NW8041DR1KSPS2R3JHHV4F.png,12/18/04,Gemini
Multiwavelength View of Centaurus A,https://stsci-opo.org/STScI-01F0SWZBB28TA0Y8B8TN9SJV28.png,3/17/21,"Hubble, Spitzer, Chandra, VLA"
Messier 92,https://stsci-opo.org/STScI-01EYXC7AJ89C14CWXCSE953RA2.png,2/22/21,Hubble
GOODS-S/ERS2 Field,https://stsci-opo.org/STScI-01EX2B84EQW1X2QGNYYNAZ8SR6.png,1/15/21,Hubble